Date,Location,Total points,Points flowering,New flowers,Total Flowers
12 Mar 20,3*2ag,8,,0,
12 Mar 20,3*3g,2,,,
12 Mar 20,4*3a,9,,1,
12 Mar 20,4*2a,8,,,
12 Mar 20,5*2a,1,,,
12 Mar 20,5*2ag,3,,,
12 Mar 20,4*3a2g,10,,,
12 Mar 20,5*4a,9,,1,
12 Mar 20,5*4as,5,,,
12 Mar 20,6*5a,1,,,
12 Mar 20,7*3as,5,,,
12 Mar 20,7*3a,5,,,
12 Mar 20,7*2a,1,,,
12 Mar 20,7*a,6,,,
12 Mar 20,6*2a,2,,,
12 Mar 20,7*c,1,,,
12 Mar 20,9*2a,3,,,
12 Mar 20,8*d,2,,,
12 Mar 20,8*3a,3,,,
12 Mar 20,8*3a2s,1,,,
12 Mar 20,10*as,1,,,
12 Mar 20,11*g,1,,,
12 Mar 20,12*g,1,,,
12 Mar 20,13*g,,,,
13 Mar 20,3*2ag,8,,1,
13 Mar 20,3*3g,2,,0,
13 Mar 20,4*3a,9,,0,
13 Mar 20,4*2a,8,,,
13 Mar 20,5*2a,1,,1,
13 Mar 20,5*2ag,3,,,
13 Mar 20,4*3a2g,10,,1,
13 Mar 20,5*4a,9,,1,
13 Mar 20,5*4as,5,,,
13 Mar 20,6*5a,1,,0,
13 Mar 20,7*3as,5,,,
13 Mar 20,7*3a,5,,,
13 Mar 20,7*2a,1,,,
13 Mar 20,7*a,6,,,
13 Mar 20,6*2a,2,,,
13 Mar 20,7*c,1,,,
13 Mar 20,9*2a,3,,,
13 Mar 20,8*d,2,,,
13 Mar 20,8*3a,3,,,
13 Mar 20,8*3a2s,1,,,
13 Mar 20,10*as,1,,,
13 Mar 20,11*g,1,,,
13 Mar 20,12*g,1,,,
13 Mar 20,13*g,4,,,
16 Mar 20,3*2ag,8,,1,
16 Mar 20,3*3g,2,,0,
16 Mar 20,4*3a2g,10,,,
16 Mar 20,4*3a,9,,2,
16 Mar 20,4*2a,8,,1,
16 Mar 20,5*2a,1,,1,
16 Mar 20,5*2ag,3,,,
16 Mar 20,5*4a,9,,3,
16 Mar 20,5*4as,5,,0,
16 Mar 20,6*5a,1,,0,
16 Mar 20,7*3as,5,,,
16 Mar 20,7*3a,5,,,
16 Mar 20,7*2a,1,,,
16 Mar 20,7*a,6,,,
16 Mar 20,6*2a,2,,,
16 Mar 20,7*c,1,,,
16 Mar 20,9*2a,3,,,
16 Mar 20,8*d,2,,,
16 Mar 20,8*4a,3,,,
16 Mar 20,8*4a2s,1,,,
16 Mar 20,10*as,1,,,
16 Mar 20,11*g,1,,,
16 Mar 20,12*2ag,9,,1,
16 Mar 20,12*g,1,,,
16 Mar 20,11*g,2,,,
16 Mar 20,13*g,4,,,
16 Mar 20,15*2d,1,,,
16 Mar 20,17*a,1,,,
16 Mar 20,19*d,7,,,
16 Mar 20,20*a,2,,,
16 Mar 20,23*3a,5,,,
17 Mar 20,3*2ag,8,,3,
17 Mar 20,3*3g,2,,0,
17 Mar 20,4*3a2g,10,,0,
17 Mar 20,4*3a,9,,1,
17 Mar 20,4*2a,8,,0,
17 Mar 20,6*2a,2,,,
17 Mar 20,5*2a,1,,1,
17 Mar 20,5*2ag,3,,0,
17 Mar 20,5*4a,9,,2,
17 Mar 20,5*4as,5,,1,
17 Mar 20,6*5a,1,,1,
17 Mar 20,7*3as,5,,0,
17 Mar 20,7*3a,5,,0,
17 Mar 20,7*2a,1,,0,
17 Mar 20,7*a,6,,0,
17 Mar 20,7*c,1,,0,
17 Mar 20,9*2a,3,,0,
17 Mar 20,8*d,2,,0,
17 Mar 20,8*4a,3,,2,
17 Mar 20,8*4a2s,1,,0,
17 Mar 20,10*as,1,,0,
17 Mar 20,10*s,4,,0,
17 Mar 20,11*g,1,,0,
17 Mar 20,12*g,1,,0,
17 Mar 20,12*2ag,9,,0,
17 Mar 20,13*g,4,,0,
17 Mar 20,15*2d,1,,0,
17 Mar 20,17*a,1,,0,
17 Mar 20,19*d,7,,0,
17 Mar 20,20*a,2,,0,
17 Mar 20,23*3a,5,,0,
18 Mar 20,3*2ag,8,,0,
18 Mar 20,3*3g,2,,0,
18 Mar 20,4*3a2g,10,,0,
18 Mar 20,4*3a,9,,0,
18 Mar 20,4*2a,8,,0,
18 Mar 20,6*2a,2,,0,
18 Mar 20,5*2a,1,,0,
18 Mar 20,5*2ag,3,,0,
18 Mar 20,5*4a,9,,3,
18 Mar 20,5*4as,5,,0,
18 Mar 20,6*5a,1,,0,
18 Mar 20,7*3as,5,,0,
18 Mar 20,7*3a,5,,0,
18 Mar 20,7*2a,1,,0,
18 Mar 20,7*a,6,,0,
18 Mar 20,7*c,1,,0,
18 Mar 20,9*2a,3,,0,
18 Mar 20,8*d,2,,0,
18 Mar 20,8*4a,3,,0,
18 Mar 20,8*4a2s,1,,0,
18 Mar 20,10*as,1,,0,
18 Mar 20,10*s,4,,0,
18 Mar 20,11*g,1,,0,
18 Mar 20,12*g,1,,0,
18 Mar 20,12*2ag,9,,0,
18 Mar 20,13*g,4,,0,
18 Mar 20,15*2d,1,,0,
18 Mar 20,17*a,1,,0,
18 Mar 20,19*d,7,,0,
18 Mar 20,20*a,3,,0,
18 Mar 20,21*g,1,,0,
18 Mar 20,23*3a,5,,0,
19 Mar 20,3*2ag,8,3,2,
19 Mar 20,4*3a2g,10,,0,
19 Mar 20,4*3a,9,2,1,
19 Mar 20,4*2a,8,1,0,
19 Mar 20,3*3g,2,,0,
19 Mar 20,6*2a,2->1,0,0,
19 Mar 20,5*2a,1,1,0,
19 Mar 20,5*2ag,3,0,0,
19 Mar 20,5*4a,9,5,2,
19 Mar 20,5*4as,5,1,1,
19 Mar 20,6*5a,1,1,1,
19 Mar 20,7*3as,5,0,0,
19 Mar 20,7*3a,5,2,2,
19 Mar 20,7*2a,1,1,0,
19 Mar 20,7*a,6,,0,
19 Mar 20,7*c,1,,0,
19 Mar 20,9*2a,3,1,1,
19 Mar 20,8*d,2,0,0,
19 Mar 20,8*4a,3,2,0,
19 Mar 20,8*4a2s,2,0,0,
19 Mar 20,10*as,2,0,0,
19 Mar 20,10*s,6,0,0,
19 Mar 20,11*g,2,0,0,
19 Mar 20,12*g,1,0,0,
19 Mar 20,12*2ag,9,1,0,
19 Mar 20,13*g,4,0,0,
19 Mar 20,15*2d,1,0,0,
19 Mar 20,17*a,1,0,0,
19 Mar 20,19*d,7,0,0,
19 Mar 20,20*a,3,0,0,
19 Mar 20,21*g,1,0,0,
19 Mar 20,23*3a,5,0,0,
20 Mar 20,3*2ag,8,3,3,
20 Mar 20,4*3a2g,10,0,0,
20 Mar 20,4*3a,9,2,1,
20 Mar 20,4*2a,8,1,0,
20 Mar 20,3*3g,2,0,0,
20 Mar 20,6*2a,1,0,0,
